0,-0.59879035
10,-0.4998548
20,-20.2282
30,-0.62103873
40,-1.9175088
50,-20.745384
60,-1.1686349
70,3.9755952
80,-1.574151
90,-1.9970508
100,-2.1188483
110,-21.240963
120,3.385123
130,-0.4277389
140,-20.772915
150,-1.7018183
160,-1.4730632
170,3.2537298
180,-1.6876333
190,3.668213
200,4.4478707
210,4.510635
220,-1.7553825
230,-20.483109
240,4.4205537
250,-20.619204
260,-1.5859946
270,4.5342927
280,4.7105913
290,-1.3570015
300,-20.367214
310,-1.1771505
320,4.552527
330,-0.6299455
340,-21.302986
350,-0.5686452
360,-1.3847924
370,-1.1731293
380,-1.9643508
390,-1.0778054
400,-21.025883
410,-20.097298
420,4.966816
430,5.3314843
440,-1.2773483
450,-0.37214738
460,-2.0488813
470,4.0140905
480,-20.243158
490,-0.93269324
500,-0.4546154
510,-0.78342503
520,5.3827405
